imdb_title_id,title,director
tt0017409,La vita è un charleston,Ernst Lubitsch
tt0017410,So's Your Old Man,Gregory La Cava
tt0017416,Il figlio dello sceicco,George Fitzmaurice
tt0017419,The Sorrows of Satan,D.W. Griffith
tt0017423,Passerotti,"""William Beaudine, Tom McNamara"""
tt0017437,La grande sparata,Frank Capra
tt0017438,Der Student von Prag,Henrik Galeen
tt0017448,Tartufo,F.W. Murnau
tt0017449,La tentatrice,"""Fred Niblo, Mauritz Stiller"""
tt0017463,I tre furfanti,John Ford
tt0017480,Torrent,Monta Bell
tt0017483,Di corsa dietro un cuore,Harry Edwards
tt0017519,The Volga Boatman,Cecil B. DeMille
tt0017534,L'allievo di West Point,Edward Sedgwick
tt0017540,Gloria,Raoul Walsh
tt0017567,Fiore del deserto,Henry King
tt0017619,Almost Human,Frank Urson
tt0017621,La mandragora,Henrik Galeen
tt0017632,Annie Laurie,John S. Robertson
tt0017653,Baby ryazanskie,"""Ivan Pravov, Olga Preobrazhenskaya"""
tt0017662,Barbed Wire,"""Rowland V. Lee, Mauritz Stiller"""
tt0017667,The Beloved Rogue,Alan Crosland
tt0017726,Café Elektric,Gustav Ucicky
tt0017735,Captain Salvation,John S. Robertson
